Opetusjakson koodi;Kurssin koodi ja nimi;Opetusryhmä;Viikonpäivä;Alkukellonaika;Loppukellonaika;ei käytössä;Salin koodi;Arvioitu osallistujamäärä;Salikoko;Opettajan T-numero;Lista viikoista joina opetusta järjestetään;Lista kurssin opinto-ohjelmista;Lisätietoja;Orderi;Vastuuyksikön koodi;Ilm.alkamispäivä;Ilm.loppumispäivä;Max.ilmoittautumismäärä;Lukujärjestysvastaavan T-numero;Vastuuopettajien T-numerot pilkkueroteltuna;Luennoitsijoiden T-numerot (Oodi=4) pilkkueroteltuna;Harjoitusten pitäjien T-numerot pilkkueroteltuna;Virkailijoiden T-numerot pilkkueroteltuna;Suoritusmerkinnän antajien T-numerot pilkkueroteltuna;Opetusmuoto;Henkilöiden nimet;Opetuskieli;CUR id;Arviointikohteen tyyppi;Toteutuksen tyyppi;Toteutuksen nimen lisätieto (FI);Toteutuksen nimen lisätieto (EN);Toteutuksen nimen lisätieto (SV);
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;MS-A0002 Matriisilaskenta (SCI);ET04;Wed;16:30;19:30;;R001/Y122,R001/Y202a,R001/Y205;8;;;23;;;;T30200;;;0;;T114213;;;;;5;T114213=Hakula, Harri;suomi;aalto-CUR-192075-3109488;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;MS-A0002 Matriisilaskenta (SCI);T02;Wed;16:30;19:30;;R001/Y122,R001/Y202a,R001/Y205;16;;;23;;;;T30200;;;0;;T114213;;;;;5;T114213=Hakula, Harri;suomi;aalto-CUR-192079-3109492;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);L01;Tue;08:15;10:00;;R001/U157;557;;T149657;43-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;0;;T149657;;;;;1;T149657=Turunen, Ville;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);L01;Thu;10:15;12:00;;R001/U157;557;;T149657;43-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;0;;T149657;;;;;1;T149657=Turunen, Ville;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H01;Mon;08:15;10:00;;R001/Y344;0;;;43;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H01;Fri;08:15;10:00;;R001/Y228b;0;;;43-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H01;Mon;08:15;10:00;;R001/U405a;0;;;44-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H02;Tue;14:15;16:00;;R001/U257;0;;;43;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H02;Thu;12:15;14:00;;R001/Y307a;0;;;43-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H02;Tue;14:15;16:00;;R001/U405a;0;;;44-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H03;Tue;10:15;12:00;;R001/Y338;0;;;43;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H03;Thu;14:15;16:00;;R001/U149;0;;;43-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H03;Tue;10:15;12:00;;R008/326;0;;;44-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H04;Tue;10:15;12:00;;R001/U257;0;;;43;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H04;Fri;10:15;12:00;;R001/M240;0;;;43-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H04;Tue;10:15;12:00;;R001/U405a;0;;;44-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H05;Tue;14:15;16:00;;R001/U344;0;;;43;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H05;Fri;12:15;14:00;;R001/Y228a;0;;;43-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H05;Tue;14:15;16:00;;R001/Y229a;0;;;44-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H06;Mon;12:15;14:00;;R001/U257;0;;;43;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H06;Fri;10:15;12:00;;R001/Y229a;0;;;43-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H06;Mon;12:15;14:00;;R001/Y307a;0;;;44-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H07;Mon;14:15;16:00;;R028/R102;0;;;43;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H07;Fri;10:15;12:00;;R001/Y228a;0;;;43-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H07;Mon;14:15;16:00;;R001/Y228a;0;;;44-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H08;Tue;12:15;14:00;;R001/U257;0;;;43;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H08;Thu;16:15;18:00;;R001/Y307a;0;;;43-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H08;Tue;12:15;14:00;;R001/Y229a;0;;;44-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H09;Tue;14:15;16:00;;R001/Y342a;0;;;43;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H09;Fri;14:15;16:00;;R001/U405a;0;;;43-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H09;Tue;14:15;16:00;;R001/Y229c;0;;;44-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H10;Tue;14:15;16:00;;R001/Y429c-d;0;;;43;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H10;Thu;14:15;16:00;;R001/Y307a;0;;;43-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H10;Tue;14:15;16:00;;R001/Y228a;0;;;44-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H11;Tue;10:15;12:00;;R001/U351;0;;;43;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H11;Thu;12:15;14:00;;R002/160a;0;;;43-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H11;Tue;10:15;12:00;;R003/F239a;0;;;44-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H12;Mon;16:15;18:00;;R001/U351;0;;;43;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H12;Thu;16:15;18:00;;R001/M232;0;;;43-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H12;Mon;16:15;18:00;;R001/M232;0;;;44-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H13;Tue;14:15;16:00;;R001/Y430;0;;;43;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H13;Fri;14:15;16:00;;R001/Y405;0;;;43-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H13;Tue;14:15;16:00;;R002/253;0;;;44-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H14;Wed;16:15;18:00;;R001/U351;0;;;43;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
5;MS-A0003 Matriisilaskenta (ELEC1, ENG1);H14;Fri;12:15;14:00;;R001/Y307a;0;;;43-48;ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T30200;;;36;;;;;;;7;;suomi;aalto-CUR-192100-3109513;;;;;;
