Opetusjakson koodi;Kurssin koodi ja nimi;Opetusryhmä;Viikonpäivä;Alkukellonaika;Loppukellonaika;ei käytössä;Salin koodi;Arvioitu osallistujamäärä;Salikoko;Opettajan T-numero;Lista viikoista joina opetusta järjestetään;Lista kurssin opinto-ohjelmista;Lisätietoja;Orderi;Vastuuyksikön koodi;Ilm.alkamispäivä;Ilm.loppumispäivä;Max.ilmoittautumismäärä;Lukujärjestysvastaavan T-numero;Vastuuopettajien T-numerot pilkkueroteltuna;Luennoitsijoiden T-numerot (Oodi=4) pilkkueroteltuna;Harjoitusten pitäjien T-numerot pilkkueroteltuna;Virkailijoiden T-numerot pilkkueroteltuna;Suoritusmerkinnän antajien T-numerot pilkkueroteltuna;Opetusmuoto;Henkilöiden nimet;Opetuskieli;CUR id;Arviointikohteen tyyppi;Toteutuksen tyyppi;Toteutuksen nimen lisätieto (FI);Toteutuksen nimen lisätieto (EN);Toteutuksen nimen lisätieto (SV);
3;CS-A1110 Ohjelmointi 1;XXA01;Fri;08:15;18:00;;R001/Y427a;0;;;36-48;BSc-Tech_DataSci~SCI10~1~1~Data Science|CHEMkandi 1 vsk Chemical ~CHEM10~1~1~CHEM enkkukandi|ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-ESF-y1~ELEC1~1~5~Elektroniikka ja sähköfysiikka|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ELEC1-SET-y1~ELEC1~1~6~Sähköenergiatekniikka|INF1~SCI1~1~1~Informaatioverkostot|INF1_SV~SCI1~1~1~|MS-1~SCI1~1~2~Matematiikka ja systeemitieteet|ENG10-COE-Y1~ENG10~1~~Computational Engineering|SCI3025-1~SCI1~1~5~Tuotantotalous|SCI3025-1-Svenska~SCI1~1~5~Produktionsekonomi |SCI3163_TEPSY_SV_y1~SCI1~1~6~|SCI3163_TEPSY_y1~SCI1~1~6~|TF-1~SCI1~1~3~Teknillinen fysiikka|TIK1~SCI1~1~4~Tietotekniikka|TIK1ruots~SCI1~1~4~Datateknik|SCI10 QT 1 y~SCI10~1~2~Quantum Technology;;;T31300;;;0;;T111928,T219529;;;;;11;T111928=Sorva, Juha|T219529=Seppälä, Otto;suomi;aalto-CUR-191701-3109114;;;;;;
3;CS-A1110 Ohjelmointi 1;XXA01;Mon;08:15;20:00;;R001/Y427a;0;;;37-49;BSc-Tech_DataSci~SCI10~1~1~Data Science|CHEMkandi 1 vsk Chemical ~CHEM10~1~1~CHEM enkkukandi|ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-ESF-y1~ELEC1~1~5~Elektroniikka ja sähköfysiikka|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ELEC1-SET-y1~ELEC1~1~6~Sähköenergiatekniikka|INF1~SCI1~1~1~Informaatioverkostot|INF1_SV~SCI1~1~1~|MS-1~SCI1~1~2~Matematiikka ja systeemitieteet|ENG10-COE-Y1~ENG10~1~~Computational Engineering|SCI3025-1~SCI1~1~5~Tuotantotalous|SCI3025-1-Svenska~SCI1~1~5~Produktionsekonomi |SCI3163_TEPSY_SV_y1~SCI1~1~6~|SCI3163_TEPSY_y1~SCI1~1~6~|TF-1~SCI1~1~3~Teknillinen fysiikka|TIK1~SCI1~1~4~Tietotekniikka|TIK1ruots~SCI1~1~4~Datateknik|SCI10 QT 1 y~SCI10~1~2~Quantum Technology;;;T31300;;;0;;T111928,T219529;;;;;11;T111928=Sorva, Juha|T219529=Seppälä, Otto;suomi;aalto-CUR-191701-3109114;;;;;;
3;CS-A1110 Ohjelmointi 1;XXA01;Tue;08:15;20:00;;R001/Y427a;0;;;37-49;BSc-Tech_DataSci~SCI10~1~1~Data Science|CHEMkandi 1 vsk Chemical ~CHEM10~1~1~CHEM enkkukandi|ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-ESF-y1~ELEC1~1~5~Elektroniikka ja sähköfysiikka|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ELEC1-SET-y1~ELEC1~1~6~Sähköenergiatekniikka|INF1~SCI1~1~1~Informaatioverkostot|INF1_SV~SCI1~1~1~|MS-1~SCI1~1~2~Matematiikka ja systeemitieteet|ENG10-COE-Y1~ENG10~1~~Computational Engineering|SCI3025-1~SCI1~1~5~Tuotantotalous|SCI3025-1-Svenska~SCI1~1~5~Produktionsekonomi |SCI3163_TEPSY_SV_y1~SCI1~1~6~|SCI3163_TEPSY_y1~SCI1~1~6~|TF-1~SCI1~1~3~Teknillinen fysiikka|TIK1~SCI1~1~4~Tietotekniikka|TIK1ruots~SCI1~1~4~Datateknik|SCI10 QT 1 y~SCI10~1~2~Quantum Technology;;;T31300;;;0;;T111928,T219529;;;;;11;T111928=Sorva, Juha|T219529=Seppälä, Otto;suomi;aalto-CUR-191701-3109114;;;;;;
3;CS-A1110 Ohjelmointi 1;XXA01;Wed;08:15;18:00;;R001/Y427a;0;;;37-48;BSc-Tech_DataSci~SCI10~1~1~Data Science|CHEMkandi 1 vsk Chemical ~CHEM10~1~1~CHEM enkkukandi|ELEC1-AR-y1~ELEC1~1~1~Automaatio ja robotiikka|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-ESF-y1~ELEC1~1~5~Elektroniikka ja sähköfysiikka|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ELEC1-SET-y1~ELEC1~1~6~Sähköenergiatekniikka|INF1~SCI1~1~1~Informaatioverkostot|INF1_SV~SCI1~1~1~|MS-1~SCI1~1~2~Matematiikka ja systeemitieteet|ENG10-COE-Y1~ENG10~1~~Computational Engineering|SCI3025-1~SCI1~1~5~Tuotantotalous|SCI3025-1-Svenska~SCI1~1~5~Produktionsekonomi |SCI3163_TEPSY_SV_y1~SCI1~1~6~|SCI3163_TEPSY_y1~SCI1~1~6~|TF-1~SCI1~1~3~Teknillinen fysiikka|TIK1~SCI1~1~4~Tietotekniikka|TIK1ruots~SCI1~1~4~Datateknik|SCI10 QT 1 y~SCI10~1~2~Quantum Technology;;;T31300;;;0;;T111928,T219529;;;;;11;T111928=Sorva, Juha|T219529=Seppälä, Otto;suomi;aalto-CUR-191701-3109114;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;CS-A1111 Ohjelmoinnin peruskurssi Y1;L01;Mon;12:15;14:00;;R001/Y202a;900;;T193085;36;BIZ1-ISM-KTK~BIZ1~2~6~Tieto- ja palvelujohtaminen|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-ESF-y1~ELEC1~1~5~Elektroniikka ja sähköfysiikka|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ELEC1-SET-y1~ELEC1~1~6~Sähköenergiatekniikka|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-KEY-1~ENG1~1~5~Kestävät yhdyskunnat|ENG1-KIG-GIS-1~ENG1~1~10~Geoinformatiikka |ENG1-KIG-KITA-1~ENG1~1~8~Kiinteistötalous |ENG1-KIG-mix-1~ENG1~1~9~Kiinteistötalous ja geoinformatiikka |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T31300;;;0;;T193085;;;;;1;T193085=Pollari-Malmi, Kerttu;suomi;aalto-CUR-191703-3109116;;;;;;
3;CS-A1111 Ohjelmoinnin peruskurssi Y1;L01;Wed;14:15;16:00;;R001/Y202a;900;;T193085;36;BIZ1-ISM-KTK~BIZ1~2~6~Tieto- ja palvelujohtaminen|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-ESF-y1~ELEC1~1~5~Elektroniikka ja sähköfysiikka|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ELEC1-SET-y1~ELEC1~1~6~Sähköenergiatekniikka|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-KEY-1~ENG1~1~5~Kestävät yhdyskunnat|ENG1-KIG-GIS-1~ENG1~1~10~Geoinformatiikka |ENG1-KIG-KITA-1~ENG1~1~8~Kiinteistötalous |ENG1-KIG-mix-1~ENG1~1~9~Kiinteistötalous ja geoinformatiikka |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T31300;;;0;;T193085;;;;;1;T193085=Pollari-Malmi, Kerttu;suomi;aalto-CUR-191703-3109116;;;;;;
3;CS-A1111 Ohjelmoinnin peruskurssi Y1;L01;Wed;14:15;16:00;;R030/C202;900;;T193085;37-41,43-45;BIZ1-ISM-KTK~BIZ1~2~6~Tieto- ja palvelujohtaminen|ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-ESF-y1~ELEC1~1~5~Elektroniikka ja sähköfysiikka|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ELEC1-SET-y1~ELEC1~1~6~Sähköenergiatekniikka|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-KEY-1~ENG1~1~5~Kestävät yhdyskunnat|ENG1-KIG-GIS-1~ENG1~1~10~Geoinformatiikka |ENG1-KIG-KITA-1~ENG1~1~8~Kiinteistötalous |ENG1-KIG-mix-1~ENG1~1~9~Kiinteistötalous ja geoinformatiikka |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T31300;;;0;;T193085;;;;;1;T193085=Pollari-Malmi, Kerttu;suomi;aalto-CUR-191703-3109116;;;;;;
3;CS-A1111 Ohjelmoinnin peruskurssi Y1;XXH01;Mon;10:15;12:00;;R030/C106.1;0;;;37-41,43-47;ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-ESF-y1~ELEC1~1~5~Elektroniikka ja sähköfysiikka|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ELEC1-SET-y1~ELEC1~1~6~Sähköenergiatekniikka|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-KEY-1~ENG1~1~5~Kestävät yhdyskunnat|ENG1-KIG-GIS-1~ENG1~1~10~Geoinformatiikka |ENG1-KIG-KITA-1~ENG1~1~8~Kiinteistötalous |ENG1-KIG-mix-1~ENG1~1~9~Kiinteistötalous ja geoinformatiikka |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T31300;;;0;;;;;;;7;;suomi;aalto-CUR-191703-3109116;;;;;;
3;CS-A1111 Ohjelmoinnin peruskurssi Y1;XXH02;Mon;12:15;14:00;;R030/C106.1;0;;;37-41,43-47;ELEC1-BIO-y1~ELEC1~1~2~Bioinformaatioteknologia|ELEC1-ESF-y1~ELEC1~1~5~Elektroniikka ja sähköfysiikka|ELEC1-IT-y1~ELEC1~1~4~Informaatioteknologia|ELEC1-SET-y1~ELEC1~1~6~Sähköenergiatekniikka|ENG1-EKO-AAE-1~ENG1~1~2~EKO-AAE |ENG1-EKO-MEC-1~ENG1~1~1~EKO-MEC |ENG1-KEY-1~ENG1~1~5~Kestävät yhdyskunnat|ENG1-KIG-GIS-1~ENG1~1~10~Geoinformatiikka |ENG1-KIG-KITA-1~ENG1~1~8~Kiinteistötalous |ENG1-KIG-mix-1~ENG1~1~9~Kiinteistötalous ja geoinformatiikka |ENG1-RAK-1~ENG1~1~3~Rakennustekniikka;;;T31300;;;0;;;;;;;7;;suomi;aalto-CUR-191703-3109116;;;;;;
